Frage,Antwort,Score,Similarty score,Anmerkuren,generated_answer,Eva_Score
Gibt es auch Körbe mit Brandschutz F30,"Gemäß den bereitgestellten Dokumenten gibt es keine Informationen zu Schöck Isokorb®-Produkten mit einer Feuerwiderstandsklasse von F30. Laut den Unterlagen sind folgende Feuerwiderstandsklassen für Schöck Isokorb®-Produkte mit Druckelementen aus Beton oder Stahl angegeben: - Feuerwiderstandsklasse REI 120 (Seite C12) - Feuerwiderstandsklasse REI 60 (Seite C12) Es wird nicht erwähnt, dass es Schöck Isokorb®-Produkte mit einer Feuerwiderstandsklasse von F30 gibt. Die Informationen beschränken sich auf die oben genannten REI-Klassen.",1,0.57,,"Entschuldigung, ich kann diese Anfrage nicht beantworten. [Page 19: Brandschutzausfuhrung Brandschutzeinstufung] erwähnt die Feuerwiderstandsdauer von 120 Minuten und die Klassifizierung REI 120, aber es gibt keine Informationen über Körbe mit Brandschutz F30. [Page 61: Produktbeschreibung] und [Page 142: Checkliste] enthalten keine relevanten Informationen zu diesem Thema. [Page 19: Brandschutzausfuhrung Brandschutzeinstufung] und [Page 15: Brandschutz] bieten keine Auskunft über Körbe mit Brandschutz F30.",1
Kann ein Isokorb im Brandriegel eingesetzt werden?,"Laut den Informationen in den Dokumenten kann ein Schöck Isokorb® mit der Feuerwiderstandsklasse REI 120 den Brandriegel linear unterbrechen, da der Stahlbetonbalkon die Aufgabe einer Brandsperre übernimmt (S. 21 in beiden Dokumenten).",1,0.59,,"Ja, ein Isokorb kann im Brandriegel eingesetzt werden. Ein Schock Isokorb mit Feuerwiderstandsklasse REI 120 kann den Brandriegel linear unterbrechen, da der Stahlbetonbalkon die Aufgabe einer Brandsperre übernimmt [Page 21]. Es ist jedoch wichtig, dass die Balkonplatte und die Geschossdecke die Anforderungen an die erforderliche Feuerwiderstandsklasse nach DIN EN 1992-1-1 und -2 (EC 2) erfüllen [Page 19].",1
Senkfederwerte für den Isokorb,"Laut den technischen Informationen zu den Schöck Isokorb Produkten werden für die FEM-Berechnung folgende Werte für die Federsteifigkeiten angesetzt: - Drehfeder: 10.000 kNm/rad/m - Senkfeder: 250.000 kN/m² Diese Werte sind für den Schöck Isokorb Typ K und den Schöck Isokorb Typ XT angegeben (siehe Seite 26 in den technischen Informationen). Die Dokumentstellen, aus denen diese Informationen entnommen wurden, sind: Schöck Isokorb T für Balkone und Laubengänge aus Stahlbeton/DE/2024.2/Februar, Seite 26 Schöck Isokorb XT für Balkone und Laubengänge aus Stahlbeton/DE/2024.1/Februar, Seite 26",1,0.95,,"Entschuldigung, ich kann diese Anfrage nicht beantworten.",0
darf ich das Element H alleine verwenden,"Aus den Dokumenten geht hervor, dass der Schöck Isokorb® XT Typ H nicht alleine verwendet werden darf: ""Es dürfen maximal drei Schöck Isokorb® XT Typ H-VV-NN an einen Balkon angeschlossen werden. Zwischen zwei dieser Elemente muss ein anderer Schöck Isokorb® Typ mit einer Anschlusslänge von einem Meter angeordnet werden."" (Seite 185 der Technischen Information Schöck Isokorb® XT) Demnach muss der Schöck Isokorb® XT Typ H immer in Kombination mit anderen Isokorb-Typen, wie z.B. Typ K oder Typ Q, verwendet werden. Eine alleinige Verwendung des Typs H ist nicht zulässig.",1,0.38,,"Nein, das Element H darf nicht alleine verwendet werden. Laut [Page 179] muss das Element H in Verbindung mit anderen Isokorbo-Typen, die Momente oder Querkrafte aufnehmen können, eingesetzt werden. Zusätzlich wird in [Page 24] erwähnt, dass der Schock Isokorbo XT Typ H grundsätzlich mit Schock Isokorbo XT-Typen, die Momente oder Querkrafte übertragen können, zu kombinieren ist.",1
In welchen Längen erhalte ich den Typ D,"Laut der technischen Information ist der Schöck Isokorb® T Typ D-MM1 bis MM6 Generation 6.0 nur in der Länge L = 500 mm erhältlich. Konkret steht auf Seite 204: ""Der Schöck Isokorb® T Typ D-MM1 bis MM5 Generation 5.0 mit Länge L1000 wurde durch den Schöck Isokorb® T Typ D-MM1 bis MM6 Generation 6.0 mit Länge L500 ersetzt."" Somit ist der Schöck Isokorb® T Typ D-MM1 bis MM6 in der Länge 500 mm verfügbar.",1,0.84,,"Der Typ D ist in einer Länge von 500 mm erhältlich [Page 199]. Es gibt auch Informationen, dass der Schock Isokorbo XT Typ D-MM1 bis MM5 Generation 5.0 mit einer Länge L1000 ersetzt wurde durch den Schock Isokorbo XT Typ D-MM1 bis MM6 Generation 6.0 mit einer Länge L500 [Page 197].",1
darf man Biegen die Betonstählen von Isokorb?,"Laut den Informationen in den technischen Unterlagen sollte man Vorsicht walten lassen, wenn die originalen Schöck Isokorb®-Betonstähle bauseitig gebogen oder hin- und zurückgebogen werden: - Bei der Produktion des Schöck Isokorb® im Werk wird durch Überwachung sichergestellt, dass die Bedingungen der bauaufsichtlichen Zulassung und der DIN EN 1992-1-1 (EC2) und DIN EN 1992-1-1/NA bezüglich Biegen von Betonstählen eingehalten werden. (Seite 30) - Werden jedoch original Schöck Isokorb® Betonstähle bauseitig gebogen oder hin- und zurückgebogen, liegt die Einhaltung und Überwachung der betreffenden Bedingungen (Europäische Technische Bewertung (ETA), DIN EN 1992-1-1 (EC2) und DIN EN 1992-1-1/NA) außerhalb des Einflusses der Schöck Bauteile GmbH. Daher erlischt in solchen Fällen die Gewährleistung. (Seite 30) Zusammenfassend ist das Biegen der originalen Schöck Isokorb®-Betonstähle bauseitig also nicht empfohlen, da dann die Zulassungs- und Normbedingungen nicht mehr eingehalten werden können und die Gewährleistung erlischt.",1,0.95,,"Nein, das Biegen der Betonstähle von Isokorb ist nicht erlaubt, wenn es bauseitig erfolgt. Laut den Hinweisen auf [Page 4] und [Page 30] wird bei der Produktion des Schock Isokorbo im Werk sichergestellt, dass die Bedingungen der bauaufsichtlichen Zulassung und der DIN EN 1992-1-1 (EC2) und DIN EN 1992-1-1/NA bezüglich Biegen von Betonstählen eingehalten werden. Wenn jedoch original Schock Isokorbo Betonstähle bauseitig gebogen oder hin- und zuruckgebogen werden, liegt die Einhaltung und Überwachung der betreffenden Bedingungen außerhalb des Einflusses der Schock Bauteile GmbH, und daher erlischt die Gewährleistung. [Page 4][Page 30]",1
Welchen ist die Dämmstoff Material Schöck Isokorb®?,"Laut den technischen Informationen der Schöck Bauteile GmbH ist der Dämmstoff für den Schöck Isokorb® Neopor® - Polystyrol-Hartschaum (EPS) nach DIN EN 13163, Klasse E nach DIN EN 13501-1, eingetragene Marke der BASF, mit einer Wärmeleitfähigkeit λ = 0,032 W/(m·K). Diesen Informationen entnehme ich der Seite 30 der Technischen Information ""Schöck Isokorb® für Balkone und Laubengänge aus Stahlbeton"".",1,0.89,,"Entschuldigung, ich kann diese Anfrage nicht beantworten.",0
Ich habe einen Balkon mit Stützen. Welchen Isokorb sollte ich verwenden?,"Basierend auf den Informationen in den Dokumenten empfiehlt sich für einen Balkon mit Stützenlagerung der Einsatz von Schöck Isokorb® XT Typ Q oder Typ Q-Z. Laut Seite 126 der technischen Information ist der Schöck Isokorb® XT Typ Q ein tragendes Wärmedämmelement für gestützte Balkone. Es überträgt positive Querkräfte. Das Element Typ Q-Z überträgt ebenfalls positive Querkräfte, ist aber für den zwängungsfreien Anschluss konzipiert. Die Abbildungen 133 und 134 auf Seite 126 zeigen konkrete Anwendungsfälle für den Einsatz von Schöck Isokorb® XT Typ Q und Q-P/Q-VV bei Balkonen mit Stützenlagerung. Zusammengefasst empfehle ich daher für einen Balkon mit Stützenlagerung den Einsatz von Schöck Isokorb® XT Typ Q oder Typ Q-Z.",1,0.97,,"Entschuldigung, ich kann diese Anfrage nicht beantworten.",0
Welchen sind die Berücksichtigung der Federwerte im Isokorb?,"Laut den Informationen in den Dokumenten werden die Federwerte für die FEM-Berechnung des Isokorb wie folgt berücksichtigt: - Schöck Isokorb T Typ K und XT Typ K: Die Federsteifigkeiten werden mit 10.000 kNm/rad/m (Drehfeder) und 250.000 kN/m² (Senkfeder) näherungsweise angenommen. (Seite 26) - Diese Federwerte werden verwendet, um die Schnittgrößen am Balkonplattenauflager unter Berücksichtigung der Federwerte zu ermitteln. Diese Schnittgrößen werden dann als äußere Randlasten auf die Tragstruktur des Gebäudes angesetzt. (Seite 26) - Es wird darauf hingewiesen, dass in dieser Technischen Information die für die FEM-Berechnung relevanten Parameter wie die angesetzte Auskragungslänge und die Federsteifigkeiten näherungsweise, vereinfacht dargestellt sind. Für die genauen Parameter bzw. Bemessungswerte sind die Typenprüfung und die Schöck Isokorb Software anzuwenden. (Seite 26) Zusammengefasst werden die Federwerte des Isokorb näherungsweise mit 10.000 kNm/rad/m (Drehfeder) und 250.000 kN/m² (Senkfeder) in der FEM-Berechnung berücksichtigt, um die Schnittgrößen für die Tragwerksplanung zu ermitteln.",1,0.97,,"Die Berücksichtigung der Federwerte im Isokorb erfolgt bei der Ermittlung der Schnittgrößen am Balkonplattenauflager. Hierbei werden die Federwerte als hinreichend genaue Näherung des Schock Isokorb-Verhaltens verwendet. Die Federwerte betragen 10.000 kNm/rad/m (Drehfeder) und 250.000 kN/m2 (Senkfeder) [Page 26: FEM-Richtlinie]. Diese Werte werden zur Bemessung des Schock Isokorbo und der Decken- und Wandkonstruktion des Gebäudes verwendet. Es ist jedoch zu beachten, dass die genauen Parameter und Bemessungswerte nur durch die Typenprüfung und die Schock Isokorbo Software ermittelt werden können [Page 26: FEM-Richtlinie].",1
Kann der Isokorb Strom ableiten,"Laut den technischen Informationen zu den Schöck Isokorb® Produkten ist dies nicht deren vorgesehene Funktion. Die Isokorb-Elemente dienen zur Übertragung von Kräften und zur Vermeidung von Wärmebrücken, sie sind nicht für den Stromableiter konzipiert. In den Dokumenten finden sich keine Informationen dazu, dass die Isokorb-Produkte zum Ableiten von Strom verwendet werden können. Die Produkte sind ausschließlich für ihre angegebenen Anwendungen, wie Lasten- und Wärmeübertragung, ausgelegt.",1,0.43,,"Entschuldigung, ich kann diese Anfrage nicht beantworten. [Page 127: Produktvarianten  Typenbezeichnung  Sonderkonstruktionen] beschreibt die verschiedenen Typen und Varianten des Schock Isokorbs, aber es wird nicht erwähnt, ob der Isokorb Strom ableiten kann. Auch in den anderen Seiten des Kontexts wird dieses Thema nicht angesprochen. [Page 6: Erlauterung zur Benennung der Schock Isokorbo Typen], [Page 7: Erlauterung zur Benennung der Schock Isokorb Typen], [Page 12: Bemessungssoftware  Inteqration in Statik-Software] und andere Seiten beschreiben die Eigenschaften und die Anwendung des Schock Isokorbs, aber es wird nicht erwähnt, ob er Strom ableiten kann. Daher kann ich diese Anfrage nicht beantworten.",1
Welche Elementhöhen sind maximal zugelassen,Laut Anhang A der technischen Dokumentation sind folgende Elementhöhen für den Schöck Isokorb mit Druckelementen aus Beton oder Stahl zugelassen: - Elementhöhe: 160 mm ≤ H ≤ 500 mm (Seite A6),1,0.9,,"Gemäss Zulassung sind Höhen bis 500 mm möglich [Page 127][Page 34]. Dies gilt auch bei zusätzlichen Anforderungen infolge Fertigteilbauweise. 

Die Isokorb Höhe für CV35 liegt zwischen 160-190 mm für Unterzugbreite wmin < 200 mm, 160-210 mm für Unterzugbreite wmin < 220 mm und 160-230 mm für Unterzugbreite wmin < 240 mm [Page 99]. 

Für den Schock Isokorbo XT Typ K-M1 bis M10 und Betondeckung CV35 ist die Isokorb Höhe zwischen 160 bis 250 mm, für CV50 zwischen 180 bis 250 mm [Page 34]. 

Für den Schock Isokorbo XT Typ K-M11 bis M13 ist die Isokorb Höhe zwischen Hmin bis 250 mm [Page 34]. 

Es ist jedoch zu beachten, dass die tatsächlich zulässige Höhe von verschiedenen Faktoren abhängt, wie z.B. der Unterzugbreite und der Betondeckung. [Page 99][Page 103]",1
weclhe Neigung haben die Querkraftstäbe im Dämmkörper,"Aus den Dokumenten geht hervor, dass die Neigung der Querkraftstäbe im Dämmkörper wie folgt angegeben ist: - Bei einer Dämmstoffstärke von 60 mm oder 80 mm beträgt die Neigung in der Dämmfuge in der Regel α = 45° (Seite A6). - Bei einer Dämmstoffstärke von 120 mm beträgt die Neigung in der Dämmfuge in der Regel α = 35° (Seite A6). Somit ist die Neigung der Querkraftstäbe im Dämmkörper abhängig von der Dämmstoffstärke, entweder 45° oder 35°.",1,0.88,,"Die Querkraftstäbe im Dämmkörper haben eine unterschiedliche Neigung, abhängig von der Haupttragstufe. Für die Haupttragstufen V1 bis V4 sind die Querkraftstäbe deckenseitig abgebogen und balkonseitig gerade, während für die Haupttragstufen V5 bis V11 die Querkraftstäbe deckenseitig gerade und balkonseitig gerade sind [Page 127].",0
darf man Mischen von Stahlstab- und Mattenbewehrung bei de Bauseitigebewehrung?,"Laut den Informationen in den Dokumenten ist das Mischen von Stahlstab- und Mattenbewehrung möglich. Die entsprechende Mattenbewehrung kann bei der Ermittlung der Zulagebewehrung angerechnet werden. Konkret steht auf Seite 53: ""Das Mischen von Stahlstab- und Mattenbewehrung ist möglich. Die entsprechende Mattenbewehrung kann bei der Ermittlung der Zulagebewehrung angerechnet werden."" Und auf Seite 64: ""Das Mischen von Stahlstab- und Mattenbewehrung ist möglich. Die entsprechende Mattenbewehrung kann bei der Ermittlung der Zulagebewehrung angerechnet werden.""",1,0.88,,"Ja, das Mischen von Stahlstab- und Mattenbewehrung bei der Bauseitigen Bewehrung ist möglich. [Page 99] und [Page 216] bestätigen dies. Die entsprechende Mattenbewehrung kann bei der Ermittlung der Zulagebewehrung angerechnet werden. Es wird jedoch betont, dass bei der Verwendung von unterschiedlichen Durchmessern die Bewehrungsangabe für den größeren Durchmesser maßgebend ist. [Page 99][Page 216]",1
Gibt es auch Dämmdicken 10cm?,Laut den Tabellen C.18 bis C.32 in den bereitgestellten Dokumenten sind für den Schöck Isokorb® Typ K und Typ Q Dämmstoffstärken von 80 mm und 120 mm angegeben. Eine Dämmstoffstärke von 100 mm (10 cm) ist in den Dokumenten nicht enthalten.,1,0.42,,"Ja, es gibt Dämmdicken von 10cm. Laut Seite 34 und 77 ist die Dammkorperdicke X120 = 120 mm, was 12 cm entspricht. Es wird jedoch nicht explizit erwähnt, ob eine Dämmdicke von genau 10cm verfügbar ist. [page_num:34][page_num:77",0
